Module 	X	Y	Z			
628	-768.750	257.100	3028.500			
629	-812.350	257.100	3028.500			
630	-855.950	257.100	3028.500			
631	-899.550	257.100	3028.500			
632	-943.150	257.100	3028.500			
633	-986.750	257.100	3028.500			
634	-1030.350	257.100	3028.500			
635	-1073.950	257.100	3028.500			
636	-332.750	171.400	3028.500			
637	-376.350	171.400	3028.500			
638	-419.950	171.400	3028.500			
639	-463.550	171.400	3028.500			
640	-507.150	171.400	3028.500			
641	-550.750	171.400	3028.500			
642	-594.350	171.400	3028.500			
643	-637.950	171.400	3028.500			
644	-681.550	171.400	3028.500			
645	-725.150	171.400	3028.500			
646	-768.750	171.400	3028.500			
647	-812.350	171.400	3028.500			
648	-855.950	171.400	3028.500			
649	-899.550	171.400	3028.500			
650	-943.150	171.400	3028.500			
651	-986.750	171.400	3028.500			
652	-1030.350	171.400	3028.500			
653	-1073.950	171.400	3028.500			
654	-463.550	85.700	3028.500			
655	-507.150	85.700	3028.500			
656	-550.750	85.700	3028.500			
657	-594.350	85.700	3028.500			
658	-637.950	85.700	3028.500			
659	-681.550	85.700	3028.500			
660	-725.150	85.700	3028.500			
661	-768.750	85.700	3028.500			
662	-812.350	85.700	3028.500			
663	-855.950	85.700	3028.500			
664	-899.550	85.700	3028.500			
665	-943.150	85.700	3028.500			
666	-986.750	85.700	3028.500			
667	-1030.350	85.700	3028.500			
668	-1073.950	85.700	3028.500			
669	-463.550	0.000	3028.500			
670	-507.150	0.000	3028.500			
671	-550.750	0.000	3028.500			
672	-594.350	0.000	3028.500			
673	-637.950	0.000	3028.500			
674	-681.550	0.000	3028.500			
675	-725.150	0.000	3028.500			
676	-768.750	0.000	3028.500			
677	-812.350	0.000	3028.500			
678	-855.950	0.000	3028.500			
679	-899.550	0.000	3028.500			
680	-943.150	0.000	3028.500			
681	-986.750	0.000	3028.500			
682	-1030.350	0.000	3028.500			
683	-1073.950	0.000	3028.500			
684	-376.350	-85.700	3028.500			
685	-419.950	-85.700	3028.500			
686	-463.550	-85.700	3028.500			
687	-507.150	-85.700	3028.500			
688	-550.750	-85.700	3028.500			
689	-594.350	-85.700	3028.500			
690	-637.950	-85.700	3028.500			
691	-681.550	-85.700	3028.500			
692	-725.150	-85.700	3028.500			
693	-768.750	-85.700	3028.500			
694	-812.350	-85.700	3028.500			
695	-855.950	-85.700	3028.500			
696	-899.550	-85.700	3028.500			
697	-943.150	-85.700	3028.500			
698	-986.750	-85.700	3028.500			
699	-1030.350	-85.700	3028.500			
700	-1073.950	-85.700	3028.500			
701	-332.750	-171.400	3028.500			
702	-376.350	-171.400	3028.500			
703	-419.950	-171.400	3028.500			
704	-463.550	-171.400	3028.500			
705	-507.150	-171.400	3028.500			
706	-550.750	-171.400	3028.500			
707	-594.350	-171.400	3028.500			
708	-637.950	-171.400	3028.500			
709	-681.550	-171.400	3028.500			
710	-725.150	-171.400	3028.500			
711	-768.750	-171.400	3028.500			
712	-812.350	-171.400	3028.500			
713	-855.950	-171.400	3028.500			
714	-899.550	-171.400	3028.500			
715	-943.150	-171.400	3028.500			
716	-986.750	-171.400	3028.500			
717	-1030.350	-171.400	3028.500			
718	-1073.950	-171.400	3028.500			
719	-289.150	-257.100	3028.500			
720	-332.750	-257.100	3028.500			
721	-376.350	-257.100	3028.500			
722	-419.950	-257.100	3028.500			
723	-463.550	-257.100	3028.500			
724	-507.150	-257.100	3028.500			
725	-550.750	-257.100	3028.500			
726	-594.350	-257.100	3028.500			
727	-637.950	-257.100	3028.500			
728	-681.550	-257.100	3028.500			
729	-725.150	-257.100	3028.500			
730	-768.750	-257.100	3028.500			
731	-812.350	-257.100	3028.500			
732	-855.950	-257.100	3028.500			
733	-899.550	-257.100	3028.500			
734	-943.150	-257.100	3028.500			
735	-986.750	-257.100	3028.500			
736	-1030.350	-257.100	3028.500			
737	-1073.950	-257.100	3028.500			
738	-289.150	-342.800	3028.500			
739	-332.750	-342.800	3028.500			
740	-376.350	-342.800	3028.500			
741	-419.950	-342.800	3028.500			
742	-463.550	-342.800	3028.500			
743	-507.150	-342.800	3028.500			
744	-550.750	-342.800	3028.500			
745	-594.350	-342.800	3028.500			
746	-637.950	-342.800	3028.500			
747	-681.550	-342.800	3028.500			
748	-725.150	-342.800	3028.500			
749	-768.750	-342.800	3028.500			
750	-812.350	-342.800	3028.500			
751	-855.950	-342.800	3028.500			
752	-899.550	-342.800	3028.500			
753	-943.150	-342.800	3028.500			
754	#REF!	#REF!	3028.500			
755	-27.550	-428.500	3028.500			
756	-71.150	-428.500	3028.500			
757	-114.750	-428.500	3028.500			
758	-158.350	-428.500	3028.500			
759	-201.950	-428.500	3028.500			
760	-245.550	-428.500	3028.500			
761	-289.150	-428.500	3028.500			
762	-332.750	-428.500	3028.500			
763	-376.350	-428.500	3028.500			
764	-419.950	-428.500	3028.500			
765	-463.550	-428.500	3028.500			
766	-507.150	-428.500	3028.500			
767	-550.750	-428.500	3028.500			
768	-594.350	-428.500	3028.500			
769	-637.950	-428.500	3028.500			
770	-681.550	-428.500	3028.500			
771	-725.150	-428.500	3028.500			
772	-768.750	-428.500	3028.500			
773	-812.350	-428.500	3028.500			
774	-855.950	-428.500	3028.500			
775	-899.550	-428.500	3028.500			
776	-943.150	-428.500	3028.500			
777	-27.550	-514.200	3028.500			
778	-71.150	-514.200	3028.500			
779	-114.750	-514.200	3028.500			
780	-158.350	-514.200	3028.500			
781	-201.950	-514.200	3028.500			
782	-245.550	-514.200	3028.500			
783	-289.150	-514.200	3028.500			
784	-332.750	-514.200	3028.500			
785	-376.350	-514.200	3028.500			
786	-419.950	-514.200	3028.500			
787	-463.550	-514.200	3028.500			
788	-507.150	-514.200	3028.500			
789	-550.750	-514.200	3028.500			
790	-594.350	-514.200	3028.500			
791	-637.950	-514.200	3028.500			
792	-681.550	-514.200	3028.500			
793	-725.150	-514.200	3028.500			
794	-768.750	-514.200	3028.500			
795	-812.350	-514.200	3028.500			
796	-855.950	-514.200	3028.500			
797	-899.550	-514.200	3028.500			
798	-943.150	-514.200	3028.500			
799	-986.750	-514.200	3028.500			
800	-27.550	-599.900	3028.500			
801	-71.150	-599.900	3028.500			
802	-114.750	-599.900	3028.500			
803	-158.350	-599.900	3028.500			
804	-201.950	-599.900	3028.500			
805	-245.550	-599.900	3028.500			
806	-289.150	-599.900	3028.500			
807	-332.750	-599.900	3028.500			
808	-376.350	-599.900	3028.500			
809	-419.950	-599.900	3028.500			
810	-463.550	-599.900	3028.500			
811	-507.150	-599.900	3028.500			
812	-550.750	-599.900	3028.500			
813	-594.350	-599.900	3028.500			
814	-637.950	-599.900	3028.500			
815	-681.550	-599.900	3028.500			
816	-725.150	-599.900	3028.500			
817	-768.750	-599.900	3028.500			
818	-812.350	-599.900	3028.500			
819	-855.950	-599.900	3028.500			
820	-899.550	-599.900	3028.500			
