Module 	X	Y	Z
717	-1030.350	-171.400	3028.5
718	-1073.950	-171.400	3028.5
719	-289.150	-257.100	3028.5
720	-332.750	-257.100	3028.5
721	-376.350	-257.100	3028.5
722	-419.950	-257.100	3028.5
723	-463.550	-257.100	3028.5
724	-507.150	-257.100	3028.5
725	-550.750	-257.100	3028.5
726	-594.350	-257.100	3028.5
727	-637.950	-257.100	3028.5
728	-681.550	-257.100	3028.5
729	-725.150	-257.100	3028.5
730	-768.750	-257.100	3028.5
731	-812.350	-257.100	3028.5
732	-855.950	-257.100	3028.5
733	-899.550	-257.100	3028.5
734	-943.150	-257.100	3028.5
735	-986.750	-257.100	3028.5
736	-1030.350	-257.100	3028.5
737	-1073.950	-257.100	3028.5
738	-289.150	-342.800	3028.5
739	-332.750	-342.800	3028.5
740	-376.350	-342.800	3028.5
741	-419.950	-342.800	3028.5
742	-463.550	-342.800	3028.5
743	-507.150	-342.800	3028.5
744	-550.750	-342.800	3028.5
745	-594.350	-342.800	3028.5
746	-637.950	-342.800	3028.5
747	-681.550	-342.800	3028.5
748	-725.150	-342.800	3028.5
749	-768.750	-342.800	3028.5
750	-812.350	-342.800	3028.5
751	-855.950	-342.800	3028.5
752	-899.550	-342.800	3028.5
753	-943.150	-342.800	3028.5
754	#REF!	#REF!	3028.5
755	-27.550	-428.500	3028.5
756	-71.150	-428.500	3028.5
757	-114.750	-428.500	3028.5
758	-158.350	-428.500	3028.5
759	-201.950	-428.500	3028.5
760	-245.550	-428.500	3028.5
761	-289.150	-428.500	3028.5
762	-332.750	-428.500	3028.5
763	-376.350	-428.500	3028.5
764	-419.950	-428.500	3028.5
765	-463.550	-428.500	3028.5
766	-507.150	-428.500	3028.5
767	-550.750	-428.500	3028.5
768	-594.350	-428.500	3028.5
769	-637.950	-428.500	3028.5
770	-681.550	-428.500	3028.5
771	-725.150	-428.500	3028.5
772	-768.750	-428.500	3028.5
773	-812.350	-428.500	3028.5
774	-855.950	-428.500	3028.5
775	-899.550	-428.500	3028.5
776	-943.150	-428.500	3028.5
777	-27.550	-514.200	3028.5
778	-71.150	-514.200	3028.5
779	-114.750	-514.200	3028.5
780	-158.350	-514.200	3028.5
781	-201.950	-514.200	3028.5
782	-245.550	-514.200	3028.5
783	-289.150	-514.200	3028.5
784	-332.750	-514.200	3028.5
785	-376.350	-514.200	3028.5
786	-419.950	-514.200	3028.5
787	-463.550	-514.200	3028.5
788	-507.150	-514.200	3028.5
789	-550.750	-514.200	3028.5
790	-594.350	-514.200	3028.5
791	-637.950	-514.200	3028.5
792	-681.550	-514.200	3028.5
793	-725.150	-514.200	3028.5
794	-768.750	-514.200	3028.5
795	-812.350	-514.200	3028.5
796	-855.950	-514.200	3028.5
797	-899.550	-514.200	3028.5
798	-943.150	-514.200	3028.5
799	-986.750	-514.200	3028.5
800	-27.550	-599.900	3028.5
801	-71.150	-599.900	3028.5
802	-114.750	-599.900	3028.5
803	-158.350	-599.900	3028.5
804	-201.950	-599.900	3028.5
805	-245.550	-599.900	3028.5
806	-289.150	-599.900	3028.5
807	-332.750	-599.900	3028.5
808	-376.350	-599.900	3028.5
809	-419.950	-599.900	3028.5
810	-463.550	-599.900	3028.5
811	-507.150	-599.900	3028.5
812	-550.750	-599.900	3028.5
813	-594.350	-599.900	3028.5
